Name,Field,Bio,Age,Country,Source,Specialisation 
,,,,,,
Ronda Rousey,Sportswomen,"In a brutal sport dominated by men, “Rowdy” Ronda Rousey has emerged as one of the biggest stars in MMA. Her penchant for trash-talking her opponents before brutally submitting them with her trademark armbar has definitely pushed her into villain territory. It’'s territory Rousey seems to relish. Since making her amateur debut in 2010, Rousey’'s career has skyrocketed. In November 2012 she became the first female fighter to sign with the UFC. Three months later she became the first female fighter to headline a UFC event. To date she’'s 9-0 (eight submissions and a TKO) and the No. 1 pound-for-pound female MMA fighter in the world. Rousey’'s influence extends well beyond the Octagon. She gets regular modeling work and had a memorable appearance in ESPN The Magazine’'s annual ""Body Issue"" in 2012. Rousey speaks repeatedly of the importance of independence, of how women should not be ‘'do-nothings’' and ‘'take care of themselves’'. In a world where pictures, film and media rhetoric constantly give women the idea that they must ‘'be'’ a certain way in order to be ‘'liked’', she gives them the all-important message that the most important thing in the world is to be oneself – for nobody else, a message that will go a long way in helping women world-over build a self-belief they may not have previously had. Not only is she at the top of her game, she has been through immense trials to get there. There are still several battles she fights along the way, but she is fearless about them all. “I don't shy away from any questions. I'm not scared of any question. I'll give you an answer. A lot of people are scared of having actual opinions out there. People are so scared of criticism... I''m not scared of people disliking me.”

",35,USA,"https://bleacherreport.com/articles/2015585-25-most-influential-women-in-sports, https://www.entertales.com/ronda-rousey-comeback-story/2/",Wrestler
Lindsey Vonn,Sportswomen,"Lindsey Caroline Vonn is an American former World Cup alpine ski racer on the US Ski Team. She won four World Cup overall championships — one of only two female skiers to do so, along with Annemarie Moser-Pröll — with three consecutive titles in 2008, 2009, and 2010, plus another in 2012. Vonn won the gold medal in downhill at the 2010 Winter Olympics, the first one for an American woman. She also won a record eight World Cup season titles in the downhill discipline , five titles in super-G, and three consecutive titles in the combined. She has the second highest super ranking of all skiers, men or women. She is experienced a lot of physical injuries throuhgout her career but she did not let them stop her, she said: ""I think it was during my--during my second ACL surgery, I was out back-to-back seasons. I had, you know, two ACLs, and within an eight-month span. I was watching the Olympics at home from my couch on crutches, and I just really lost motivation. Once I kind of got past a certain point of the rehab, I felt like I was making progress, and that was the positivity that I that I needed to kind of really get things going""",37,USA,https://bleacherreport.com/articles/2015585-25-most-influential-women-in-sports,Skiing
Serena Williams,Sportswomen,"Serena Jameka Williams is an American professional tennis player. She has won 23 Grand Slam singles titles, the most by any player in the Open Era, and the second-most of all time behind Margaret Court. The Women's Tennis Association ranked her singles world No. 1 on eight separate occasions between 2002 and 2017. She was not born into a world of respect and fame. Like many other black females, Serena faced hardships all throughout her life. Not only has Williams influenced the world of athletics, she has also influenced the community, specifically women and mothers. She shared her story on the experiences and hardships of childbirth. Williams and her sister have additionally inspired more diversity within sports and the community. African-American children, from poor areas growing up with a poor home life have been inspired to begin playing tennis. She has devoted time and money to the development of a tennis center in Washington, DC. In the 1950s, tennis consisted of mostly white people. Now, there is much more diversity within sports. Serena has inspired kids of color to take part in youth programs and begin playing tennis.",40,USA,"https://www.wikipedia.org/, https://writeonsports.org/serena-williams-a-motivational-story/, https://sportsmuseum.org/2021/02/serena-williams-most-influential-athlete/",Tennis
Maria Sharapova,Sportswomen,"Maria Yuryevna Sharapova (born 19 April 1987) is a Russian former world No. 1 tennis player. Although she played under the banner of Russia with the Women's Tennis Association (WTA), she has lived in and been a United States permanent resident since 1994. Sharapova competed on the WTA Tour from 2001 to 2020 and had been ranked world No. 1 in singles by the WTA on five separate occasions, for a total of 21 weeks. She is one of ten women, and the only Russian, to hold the career Grand Slam. She is also an Olympic medalist, having won a silver medal in women's singles at the 2012 Summer Olympics in London. Sharapova became the world No. 1 for the first time on 22 August 2005, at the age of 18, becoming the first Russian female tennis player to top the singles rankings, and last held the ranking for a fifth time for four weeks from 11 June 2012, to 8 July 2012. The injury-plagued Sharapova, renowned for her never-say-die approach to the sport despite regularly being hampered by shoulder problems, won five Grand Slam titles. World number one Novak Djokovic heard about Sharapova’s retirement after he reached the Dubai Duty Free Tennis Championships quarter-finals and asked the crowd to applaud her for everything she accomplished. “She’s great fighter. As dedicated as someone can really be in our sport,” said Djokovic. “The willpower an the willingness to kind of overcome all the obstacles she had, especially ... with injuries and surgeries and trying to fight back, come back to the court and play on her desired level.“",34,Russia,"https://www.wikipedia.org/, https://www.deccanchronicle.com/sports/tennis/270220/maria-sharapova-an-inspirational-and-a-great-fighter.html",Tennis
Saina Nehwal,Sportswomen,"Saina Nehwal (born 17 March 1990) is an Indian professional badminton player. A former world no. 1, she has won 24 international titles, which includes ten Superseries titles. She started her training at Lal Bahadur Stadium which was located 25 kms from her home. Her father used to drop her off every day at 4 a.m. She continued her studies simultaneously along with her training. She was also trained by S. M. Arif who was one of the most renowned instructors at the time. Although she reached the world's 2nd in 2009, it was only in 2015 that she was able to attain the world no. 1 ranking, thereby becoming the only female player from India and overall the second Indian player – after Prakash Padukone – to achieve this feat. She has represented India three times in the Olympics, winning a bronze medal in her second appearance at the London 2012. Considered one of India's most successful badminton players, Nehwal is credited for increasing the popularity of badminton in India. In 2016, the Government of India (GoI) conferred the Padma Bhushan – India's third highest civilian award – on her. Saina teaches us to keep on going no matter what. Fighting your way through the difficulties is what will make you strong. Once she woke up with blisters on her leg, but she never stopped. She said that she was happy that she could win matches even in such a bad condition and was really happy with her fighting spirit.",31,India,"https://www.wikipedia.org/, http://thesuperher.com/blogs-success-story-saina-nehwal-the-indian-pride-of-badminton-world/",Badminton
Fu Yuanhui,Sportswomen,"Fu Yuanhui is a Chinese competitive swimmer who specializes in backstroke. She won a bronze medal at the 2016 Rio Olympics in the 100-meter backstroke. She finished in a national record time of 58.76. Throughout the Olympics, her cheerful interviews and goofy demeanor made her very popular. Mark Dreyer, a Beijing-based sports writer, noted that Fu exemplified ""a positive trend in Chinese sports whereby athletics was undergoing a transition away from ""manufactured Olympic champions"" from the state-run sports system who were effective at bringing home medals but had cardboard personalities and inspired little devotion among fans'. Neither of her parents had much of an athletic background, but Fu’s father sent his daughter to a local swimming school at the age of five to try to slowly improve her breathing. Fu, who reportedly suffered from asthma since childhood, eventually made a name for herself in the junior circles. In 2016, both eastern and Western media praised her honesty and willingness to raise the topic of menstruation and she soon emerged as one of the Games’ most likeable athletes regardless of national affiliation.",26,China,"https://www.wikipedia.org/, https://www.scmp.com/sport/china/article/3135689/fu-yuanhui-biography-family-breaking-taboos-mystical-swimming",Swimming
Garbine Muguruza,Sportswomen,"Garbiñe Muguruza Blanco is a Spanish professional tennis player. She has a career-high singles ranking of world No. 1 by the Women's Tennis Association (WTA), and a career-high doubles ranking of world No. 10. She has won ten singles titles, including two majors at the 2016 French Open and the 2017 Wimbledon Championships, and the 2021 WTA Finals. In 2015, Muguruza reached her first major final at the Wimbledon Championships, where she lost to Serena Williams. She then won her maiden Premier-level crown by winning the 2015 China Open, and qualified for her first WTA Finals in singles. She is particularly grateful for the strong work ethic and determination that her parents instilled in her. “My parents sacrificed everything for us to become tennis players – moving to Spain and really getting into the tennis world. That was the recipe,” the Venezuelan-born athlete reflects. She was playing from the age of three, before her family decided on the life-changing move so that she and her brothers could pursue their aspirations for the sport. Leaving her hometown is not the only sacrifice that Muguruza has made. She finds being away from her family and friends for much of the year a challenge. The rewards, however, have been life-changing. In her own words: “I’m living the dream that I had when I was a child.” Her passion for the game and drive to succeed make Muguruza a figure of hope and inspiration for future generations of sports stars.",28,Spain,"https://www.wikipedia.org/, https://www.vogue.co.uk/article/bc/how-garbine-muguruza-realised-her-dreams",Tennis
Tessa Virtue,Sportswomen,"Tessa Jane McCormick Virtue CM (born May 17, 1989) is a Canadian retired ice dancer. Tessa Virtue was originally trained in ballet and modern dance, but over time made a transition to ice dancing. Her skating career began in 1997 at 7 years of age. With ice dance partner Scott Moir, she is the 2010 and 2018 Olympic champion, the 2014 Olympic silver medalist, a three-time World champion (2010, 2012, 2017), a three-time Four Continents champion (2008, 2012, 2017), the 2016–17 Grand Prix Final champion, an eight-time Canadian National champion (2008–2010, 2012–2014, 2017–2018), the 2006 World Junior champion and the 2006 Junior Grand Prix gold medalists. Widely regarded as one of the greatest ice dance teams of all time, they are the only ice dancers in history to achieve a Super Slam, having won all major competitions in their senior and junior careers. Their career was a run of sustained excellence, but it wasn’t an unbroken string of successes. To get to the top – and stay there – Virtue and Moir had to adapt.
“We weren’t always number one. And that drove us in itself — that constant pursuit for greatness,” says Virtue.",32,Canada,"https://www.wikipedia.org/, https://newsroom.carleton.ca/story/tessa-virtue-inspiring-students/",Figure Skating
Simone Biles,Sportswomen,"Simone Arianne Biles (born March 14, 1997) is an American artistic gymnast. With a combined total of 32 Olympic and World Championship medals, Biles is tied as the most decorated gymnast of all time. Biles' seven Olympic medals also ties Shannon Miller for the most Olympic medals won by an American gymnast. Biles is considered one of the greatest and most dominant gymnasts of all time.
Biles was just six years old when she first stepped on the mat, during a daycare field trip. Astonishingly, the trainers suggested she had the gift of gymnastics then itself. Thus, young Biles began her journey to being crowned as the GOAT of gymnastics. Apart from her Olympic glories, Simone inspired the world, prioritizing her mental health and withdrawing from major events in Tokyo. ""I want people to reach for their dreams. If you're willing to put in a lot of work, and if you're focused and determined, you can go really far. That doesn't mean everything will happen overnight; for me, it took years of training and perseverance to reach my goals. But looking back on it now, I'm glad I didn't give up. There so many people who have inspired me with their love and encouragement along the way — and I want to pass on that inspiration to readers,"" said Biles.",24,USA,"https://www.wikipedia.org/, https://www.nytimes.com/2021/07/24/sports/olympics/simone-biles-gymnastics.html, https://www.prnewswire.com/news-releases/simone-biles-tells-her-inspiring-story-in-official-autobiography-300322456.html",Gymnastics
